Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
PACE-W2,135000,7300,36150.00,2117.00,0.22
PAF,100000,269800,94000.00,256310.00,17.53
PATO,0,2500,0,35680.00,11.79
PCSGH,2000,32000,14380.00,230400.00,4.01
PDI,1300,77200,18850.00,1121910.00,24.23
PF,2130843,4085600,2430161.02,4656739.00,2.98
PHOL,5000,0,11600.00,0,2.56
PIMO,88800,20200,320306.00,73124.00,6.44
PIMO-W1,5000,0,10400.00,0,0.38
PJW,149200,18800,302080.00,37960.00,0.57
PK,20800,1000,78624.00,3840.00,0.18
PL,8500,0,29580.00,0,0.24
PLANB,422600,1334400,2906725.00,9191835.00,10.67
PLAT,61100,21800,455230.00,162670.00,2.82
PLE,171400,51400,223134.00,66834.00,1.00
PLE-W3,0,170000,0,18700.00,13.99
PM,4300,100,37310.00,875.00,0.21
PORT,2200,0,15400.00,0,0.14
PPPM,0,2200,0,12555.00,0.71
PPS,22200,125100,21344.00,122402.00,6.82
PPS-W1,41000,1000,29600.00,830.00,5.39
PREB,3800,82200,42940.00,925700.00,11.71
PRG,15800,0,223300.00,0,50.00
PRIN,0,1412400,0,2259840.00,28.67
PRINC,45400,0,247670.00,0,2.85
PRM,1735600,1820000,13820150.00,14457245.00,13.16
PROUD-W2,1000,0,680.00,0,0.01
PSH,89400,0,1830380.00,0,2.24
PSL,471900,656300,5747430.00,7989050.00,40.51
PSTC,1668100,1542500,1182769.00,1095185.00,10.44
PT,1400,0,8985.00,0,0.21
PTG,2329700,2078600,27507660.00,24339340.00,6.19
PTL,57414,35500,930058.20,572900.00,6.83
PTT,7380603,5225900,385974406.75,273434700.00,11.00
PTTEP,1470400,1109600,210118850.00,158104850.00,17.88
PTTGC,3402350,4732000,282016337.50,390992725.00,15.02
PYLON,184000,33800,1298890.00,238915.00,6.15
Q-CON,3000,20000,15600.00,104000.00,57.21
QH,16691400,32594500,56949842.00,111336694.00,38.73
RATCH,432803,800600,22617431.75,41836300.00,49.47
RCI,56300,75000,179928.00,244404.00,1.30
RCL,14200,56600,79745.00,318490.00,13.78
RJH,233434,2840,5642697.70,69042.00,1.41
RML,1816100,181600,2373032.00,237092.00,5.30
ROBINS,574100,324700,37931750.00,21360000.00,25.91
ROJNA,200,62800,1060.00,330090.00,2.72
RPC,10000,0,5300.00,0,1.28
RPH,0,100,0,555.00,0.00
RS,1103400,119300,19765920.00,2134540.00,12.30
RSP,0,80000,0,330300.00,16.89
